"sourcedId","status","dateLastModified","enabledUser","orgSourcedIds","role","username","userIds","givenName","familyName","middleName","identifier","email","sms","phone","agentSourcedIds","grades","password","metadata.phoneticGivenName","metadata.phoneticFamilyName"
"us0001","","","true","or0001","student","user01","","GN 01","FN 01","","","user01@sample-u.ac.jp","","","","","","PGN 01","PFN 01"
"us0002","","","true","or0001","student","user02","","GN 02","FN 02","","","user02@sample-u.ac.jp","","","","","","PGN 02","PFN 02"
"us0003","","","true","or0001","student","user03","","GN 03","FN 03","","","user03@sample-u.ac.jp","","","","","","PGN 03","PFN 03"
"us0004","","","true","or0001","student","user04","","GN 04","FN 04","","","user04@sample-u.ac.jp","","","","","","PGN 04","PFN 04"
"us0005","","","true","or0001","student","user05","","GN 05","FN 05","","","user05@sample-u.ac.jp","","","","","","PGN 05","PFN 05"
"us0006","","","true","or0001","student","user06","","GN 06","FN 06","","","user06@sample-u.ac.jp","","","","","","PGN 06","PFN 06"
"us0007","","","true","or0001","student","user07","","GN 07","FN 07","","","user07@sample-u.ac.jp","","","","","","PGN 07","PFN 07"
"us0008","","","true","or0001","student","user08","","GN 08","FN 08","","","user08@sample-u.ac.jp","","","","","","PGN 08","PFN 08"
"us0009","","","true","or0001","student","user09","","GN 09","FN 09","","","user09@sample-u.ac.jp","","","","","","PGN 09","PFN 09"
"us0010","","","true","or0001","student","user10","","GN 10","FN 10","","","user10@sample-u.ac.jp","","","","","","PGN 10","PFN 10"
"us0011","","","true","or0001","student","user11","","GN 11","FN 11","","","user11@sample-u.ac.jp","","","","","","PGN 11","PFN 11"
"us0012","","","true","or0001","student","user12","","GN 12","FN 12","","","user12@sample-u.ac.jp","","","","","","PGN 12","PFN 12"
"us0013","","","true","or0001","student","user13","","GN 13","FN 13","","","user13@sample-u.ac.jp","","","","","","PGN 13","PFN 13"
"us0014","","","true","or0001","student","user14","","GN 14","FN 14","","","user14@sample-u.ac.jp","","","","","","PGN 14","PFN 14"
"us0015","","","true","or0001","student","user15","","GN 15","FN 15","","","user15@sample-u.ac.jp","","","","","","PGN 15","PFN 15"
"us0016","","","true","or0001","student","user16","","GN 16","FN 16","","","user16@sample-u.ac.jp","","","","","","PGN 16","PFN 16"
"us0017","","","true","or0001","student","user17","","GN 17","FN 17","","","user17@sample-u.ac.jp","","","","","","PGN 17","PFN 17"
"us0018","","","true","or0001","student","user18","","GN 18","FN 18","","","user18@sample-u.ac.jp","","","","","","PGN 18","PFN 18"
"us0019","","","true","or0001","student","user19","","GN 19","FN 19","","","user19@sample-u.ac.jp","","","","","","PGN 19","PFN 19"
"us0020","","","true","or0001","student","user20","","GN 20","FN 20","","","user20@sample-u.ac.jp","","","","","","PGN 20","PFN 20"
