"sourcedId","status","dateLastModified","enabledUser","orgSourcedIds","role","username","userIds","givenName","familyName","middleName","identifier","email","sms","phone","agentSourcedIds","grades","password","metadata.phoneticGivenName","metadata.phoneticFamilyName"
"us0001","","","true","or0001","student","user01","","名01","姓01","","","user01@sample-u.ac.jp","","","","","","メイ01","セイ01"
"us0002","","","true","or0001","student","user02","","名02","姓02","","","user02@sample-u.ac.jp","","","","","","メイ02","セイ02"
"us0003","","","true","or0001","student","user03","","名03","姓03","","","user03@sample-u.ac.jp","","","","","","メイ03","セイ03"
"us0004","","","true","or0001","student","user04","","名04","姓04","","","user04@sample-u.ac.jp","","","","","","メイ04","セイ04"
"us0005","","","true","or0001","student","user05","","名05","姓05","","","user05@sample-u.ac.jp","","","","","","メイ05","セイ05"
"us0006","","","true","or0001","student","user06","","名06","姓06","","","user06@sample-u.ac.jp","","","","","","メイ06","セイ06"
"us0007","","","true","or0001","student","user07","","名07","姓07","","","user07@sample-u.ac.jp","","","","","","メイ07","セイ07"
"us0008","","","true","or0001","student","user08","","名08","姓08","","","user08@sample-u.ac.jp","","","","","","メイ08","セイ08"
"us0009","","","true","or0001","student","user09","","名09","姓09","","","user09@sample-u.ac.jp","","","","","","メイ09","セイ09"
"us0010","","","true","or0001","student","user10","","名10","姓10","","","user10@sample-u.ac.jp","","","","","","メイ10","セイ10"
"us0011","","","true","or0001","student","user11","","名11","姓11","","","user11@sample-u.ac.jp","","","","","","メイ11","セイ11"
"us0012","","","true","or0001","student","user12","","名12","姓12","","","user12@sample-u.ac.jp","","","","","","メイ12","セイ12"
"us0013","","","true","or0001","student","user13","","名13","姓13","","","user13@sample-u.ac.jp","","","","","","メイ13","セイ13"
"us0014","","","true","or0001","student","user14","","名14","姓14","","","user14@sample-u.ac.jp","","","","","","メイ14","セイ14"
"us0015","","","true","or0001","student","user15","","名15","姓15","","","user15@sample-u.ac.jp","","","","","","メイ15","セイ15"
"us0016","","","true","or0001","student","user16","","名16","姓16","","","user16@sample-u.ac.jp","","","","","","メイ16","セイ16"
"us0017","","","true","or0001","student","user17","","名17","姓17","","","user17@sample-u.ac.jp","","","","","","メイ17","セイ17"
"us0018","","","true","or0001","student","user18","","名18","姓18","","","user18@sample-u.ac.jp","","","","","","メイ18","セイ18"
"us0019","","","true","or0001","student","user19","","名19","姓19","","","user19@sample-u.ac.jp","","","","","","メイ19","セイ19"
"us0020","","","true","or0001","student","user20","","名20","姓20","","","user20@sample-u.ac.jp","","","","","","メイ20","セイ20"
